grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G002957,325.41038525869203,287.03576099202274,129.36334375260128,"10h=325.4104, 18h=287.0358, 22h=129.3633"
G005793,263.8965118327831,284.46615229467835,422.6501667554603,"10h=263.8965, 18h=284.4662, 22h=422.6502"
G001633,287.32048497565773,284.3098947325581,119.87984680937613,"10h=287.3205, 18h=284.3099, 22h=119.8798"
G002380,331.4895334038731,284.2763263205886,120.83396119706265,"10h=331.4895, 18h=284.2763, 22h=120.8340"
G002494,331.80648922310775,283.8914045348172,144.62251796275757,"10h=331.8065, 18h=283.8914, 22h=144.6225"
G001259,292.06029051593106,282.8820194736603,117.51383083015205,"10h=292.0603, 18h=282.8820, 22h=117.5138"
G001634,292.88895439445895,282.63238293476877,117.10017842155767,"10h=292.8890, 18h=282.6324, 22h=117.1002"
G006791,359.3989669401491,280.29809545453406,152.82294196449874,"10h=359.3990, 18h=280.2981, 22h=152.8229"
G005019,179.93543293018786,279.20499270600095,365.49068313531365,"10h=179.9354, 18h=279.2050, 22h=365.4907"
G001533,304.45797658852086,279.1471934222075,111.32515428975125,"10h=304.4580, 18h=279.1472, 22h=111.3252"
G006331,315.93269133603303,278.61811598565583,332.60844764153205,"10h=315.9327, 18h=278.6181, 22h=332.6084"
G001345,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001346,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001347,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001436,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001437,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001438,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001531,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001532,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001627,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001628,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001629,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001630,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001631,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001632,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001727,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001728,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001729,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001730,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001731,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001732,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001733,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001734,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001834,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001835,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
